,label,dice,prunning,cohort,subject_id
0,0.0,0.9634754133788903,prune_90,ET,sub-4300
1,1025.0,0.0001097694840834248,prune_90,ET,sub-4300
2,2.0,4.307800996825151e-06,prune_90,ET,sub-4300
3,1024.0,0.00011262529564140106,prune_90,ET,sub-4300
4,1028.0,4.641663572224285e-05,prune_90,ET,sub-4300
5,1029.0,0.0001137915339098771,prune_90,ET,sub-4300
6,4.0,2.638104785522081e-05,prune_90,ET,sub-4300
7,7.0,6.682258603407952e-05,prune_90,ET,sub-4300
8,8.0,1.952286127054781e-05,prune_90,ET,sub-4300
9,1026.0,0.0003700962250185048,prune_90,ET,sub-4300
10,10.0,0.000143184421534937,prune_90,ET,sub-4300
11,11.0,0.000273224043715847,prune_90,ET,sub-4300
12,12.0,0.0002300966405890474,prune_90,ET,sub-4300
13,13.0,0.0004666355576294914,prune_90,ET,sub-4300
14,14.0,0.00044543429844097997,prune_90,ET,sub-4300
15,15.0,0.00041718815185648727,prune_90,ET,sub-4300
16,16.0,4.7114252061248525e-05,prune_90,ET,sub-4300
17,17.0,0.0003194888178913738,prune_90,ET,sub-4300
18,18.0,0.0007457121551081282,prune_90,ET,sub-4300
19,1035.0,0.00018573551263001485,prune_90,ET,sub-4300
20,1018.0,0.00025974025974025974,prune_90,ET,sub-4300
21,24.0,0.000676132521974307,prune_90,ET,sub-4300
22,26.0,0.0018832391713747645,prune_90,ET,sub-4300
23,5.0,0.0006802721088435374,prune_90,ET,sub-4300
24,28.0,0.00024396194193705782,prune_90,ET,sub-4300
25,30.0,0.014925373134328358,prune_90,ET,sub-4300
26,31.0,0.0011668611435239206,prune_90,ET,sub-4300
27,41.0,4.270876042093754e-06,prune_90,ET,sub-4300
28,42.0,0.16666666666666666,prune_90,ET,sub-4300
29,43.0,3.344257909169955e-05,prune_90,ET,sub-4300
30,44.0,0.0007087172218284905,prune_90,ET,sub-4300
31,46.0,7.50581700818134e-05,prune_90,ET,sub-4300
32,47.0,1.984757065735154e-05,prune_90,ET,sub-4300
33,1027.0,9.645992090286486e-05,prune_90,ET,sub-4300
34,49.0,0.00013480722566729578,prune_90,ET,sub-4300
35,50.0,0.00026322716504343247,prune_90,ET,sub-4300
36,51.0,0.00022655188038060717,prune_90,ET,sub-4300
37,52.0,0.0005167958656330749,prune_90,ET,sub-4300
38,53.0,0.00030102347983142685,prune_90,ET,sub-4300
39,54.0,0.0005656108597285068,prune_90,ET,sub-4300
40,58.0,0.0022123893805309734,prune_90,ET,sub-4300
41,60.0,0.0002426595486532395,prune_90,ET,sub-4300
42,62.0,0.07692307692307693,prune_90,ET,sub-4300
43,63.0,0.0010438413361169101,prune_90,ET,sub-4300
44,1030.0,7.880220646178094e-05,prune_90,ET,sub-4300
45,1031.0,0.00010557432432432433,prune_90,ET,sub-4300
46,77.0,0.00015236934328813042,prune_90,ET,sub-4300
47,80.0,0.3333333333333333,prune_90,ET,sub-4300
48,1034.0,0.001326259946949602,prune_90,ET,sub-4300
49,85.0,0.006134969325153374,prune_90,ET,sub-4300
50,251.0,0.0007496251874062968,prune_90,ET,sub-4300
51,252.0,0.0019267822736030828,prune_90,ET,sub-4300
52,253.0,0.0018726591760299626,prune_90,ET,sub-4300
53,254.0,0.0017152658662092624,prune_90,ET,sub-4300
54,255.0,0.0008361204013377926,prune_90,ET,sub-4300
55,1016.0,0.0005022601707684581,prune_90,ET,sub-4300
56,1000.0,0.003676470588235294,prune_90,ET,sub-4300
57,1003.0,0.00018511662347278786,prune_90,ET,sub-4300
58,1015.0,8.169934640522875e-05,prune_90,ET,sub-4300
59,1006.0,0.0005945303210463733,prune_90,ET,sub-4300
60,1007.0,0.00013564839934888768,prune_90,ET,sub-4300
61,2000.0,0.002369668246445498,prune_90,ET,sub-4300
62,1008.0,8.494733265375468e-05,prune_90,ET,sub-4300
63,2002.0,0.0004488330341113106,prune_90,ET,sub-4300
64,2003.0,0.00016625103906899418,prune_90,ET,sub-4300
65,2005.0,0.00025647601949217746,prune_90,ET,sub-4300
66,2006.0,0.0005452562704471102,prune_90,ET,sub-4300
67,2007.0,0.00011941724385001195,prune_90,ET,sub-4300
68,2008.0,8.284317786430287e-05,prune_90,ET,sub-4300
69,2009.0,0.00010699764605178686,prune_90,ET,sub-4300
70,2010.0,0.0003786444528587656,prune_90,ET,sub-4300
71,2011.0,8.656509695290859e-05,prune_90,ET,sub-4300
72,2012.0,9.933445912387007e-05,prune_90,ET,sub-4300
73,2013.0,0.00016144656118824668,prune_90,ET,sub-4300
74,2014.0,0.0001998001998001998,prune_90,ET,sub-4300
75,2015.0,8.616232982939858e-05,prune_90,ET,sub-4300
76,2016.0,0.00047036688617121356,prune_90,ET,sub-4300
77,2017.0,0.0002941176470588235,prune_90,ET,sub-4300
78,2018.0,0.00022779043280182233,prune_90,ET,sub-4300
79,2019.0,0.0005128205128205128,prune_90,ET,sub-4300
80,2020.0,0.00022583559168925022,prune_90,ET,sub-4300
81,2021.0,0.0003259452411994785,prune_90,ET,sub-4300
82,2022.0,0.00013010668748373666,prune_90,ET,sub-4300
83,2023.0,0.00030321406913280777,prune_90,ET,sub-4300
84,2024.0,0.00011070519207350825,prune_90,ET,sub-4300
85,2025.0,0.00011551345731777752,prune_90,ET,sub-4300
