,label,dice,prunning,cohort,subject_id
0,0.0,0.9971308588344472,prune_10,ET,sub-4300
1,1025.0,0.8325437802735934,prune_10,ET,sub-4300
2,2.0,0.9539609709421308,prune_10,ET,sub-4300
3,1024.0,0.7850278983261004,prune_10,ET,sub-4300
4,1028.0,0.8545660262407798,prune_10,ET,sub-4300
5,1029.0,0.7687446898895497,prune_10,ET,sub-4300
6,4.0,0.9630854366311243,prune_10,ET,sub-4300
7,7.0,0.9223680153482476,prune_10,ET,sub-4300
8,8.0,0.9323192828533282,prune_10,ET,sub-4300
9,1026.0,0.8175145100716968,prune_10,ET,sub-4300
10,10.0,0.943324485257192,prune_10,ET,sub-4300
11,11.0,0.8926128590971272,prune_10,ET,sub-4300
12,12.0,0.9357909885973652,prune_10,ET,sub-4300
13,13.0,0.8988164307263866,prune_10,ET,sub-4300
14,14.0,0.8992957746478873,prune_10,ET,sub-4300
15,15.0,0.8999142734676382,prune_10,ET,sub-4300
16,16.0,0.9575717114047608,prune_10,ET,sub-4300
17,17.0,0.9049794426678849,prune_10,ET,sub-4300
18,18.0,0.8346640053226879,prune_10,ET,sub-4300
19,1035.0,0.9047311033080762,prune_10,ET,sub-4300
20,1018.0,0.6455984648596785,prune_10,ET,sub-4300
21,24.0,0.867989918084436,prune_10,ET,sub-4300
22,26.0,0.8449820788530465,prune_10,ET,sub-4300
23,5.0,0.8820109439124487,prune_10,ET,sub-4300
24,28.0,0.90628749700024,prune_10,ET,sub-4300
25,30.0,0.014925373134328358,prune_10,ET,sub-4300
26,31.0,0.6704601682335477,prune_10,ET,sub-4300
27,41.0,0.9614145670089165,prune_10,ET,sub-4300
28,42.0,0.16666666666666666,prune_10,ET,sub-4300
29,43.0,0.9696349426531786,prune_10,ET,sub-4300
30,44.0,0.9038194444444444,prune_10,ET,sub-4300
31,46.0,0.9173300444743432,prune_10,ET,sub-4300
32,47.0,0.9331879633667685,prune_10,ET,sub-4300
33,1027.0,0.7668165427592041,prune_10,ET,sub-4300
34,49.0,0.9489519945909398,prune_10,ET,sub-4300
35,50.0,0.8905446393248054,prune_10,ET,sub-4300
36,51.0,0.9346049046321526,prune_10,ET,sub-4300
37,52.0,0.8912881608339538,prune_10,ET,sub-4300
38,53.0,0.9011818311262993,prune_10,ET,sub-4300
39,54.0,0.8694120834462206,prune_10,ET,sub-4300
40,58.0,0.7972831765935214,prune_10,ET,sub-4300
41,60.0,0.8951470067304286,prune_10,ET,sub-4300
42,62.0,0.07692307692307693,prune_10,ET,sub-4300
43,63.0,0.6897689768976898,prune_10,ET,sub-4300
44,1030.0,0.8528218231006237,prune_10,ET,sub-4300
45,1031.0,0.8729510238652782,prune_10,ET,sub-4300
46,77.0,0.6851585559676077,prune_10,ET,sub-4300
47,80.0,0.3333333333333333,prune_10,ET,sub-4300
48,1034.0,0.7778409090909091,prune_10,ET,sub-4300
49,85.0,0.006134969325153374,prune_10,ET,sub-4300
50,251.0,0.0007496251874062968,prune_10,ET,sub-4300
51,252.0,0.0019267822736030828,prune_10,ET,sub-4300
52,253.0,0.0018726591760299626,prune_10,ET,sub-4300
53,254.0,0.0017152658662092624,prune_10,ET,sub-4300
54,255.0,0.0008361204013377926,prune_10,ET,sub-4300
55,1016.0,0.8398917855386129,prune_10,ET,sub-4300
56,1000.0,0.003676470588235294,prune_10,ET,sub-4300
57,1003.0,0.8374196821102469,prune_10,ET,sub-4300
58,1015.0,0.8357538735385736,prune_10,ET,sub-4300
59,1006.0,0.8008571428571428,prune_10,ET,sub-4300
60,1007.0,0.8610997127615921,prune_10,ET,sub-4300
61,2000.0,0.002369668246445498,prune_10,ET,sub-4300
62,1008.0,0.8694308205910234,prune_10,ET,sub-4300
63,2002.0,0.7416626389560174,prune_10,ET,sub-4300
64,2003.0,0.8216529330178673,prune_10,ET,sub-4300
65,2005.0,0.7998778998778999,prune_10,ET,sub-4300
66,2006.0,0.7916248746238717,prune_10,ET,sub-4300
67,2007.0,0.8422599412223355,prune_10,ET,sub-4300
68,2008.0,0.8385709937604626,prune_10,ET,sub-4300
69,2009.0,0.8334738173006006,prune_10,ET,sub-4300
70,2010.0,0.8587292918259604,prune_10,ET,sub-4300
71,2011.0,0.8327044577044577,prune_10,ET,sub-4300
72,2012.0,0.8334380563409781,prune_10,ET,sub-4300
73,2013.0,0.8111351270775882,prune_10,ET,sub-4300
74,2014.0,0.8444467597416129,prune_10,ET,sub-4300
75,2015.0,0.8638185421713279,prune_10,ET,sub-4300
76,2016.0,0.8503614457831326,prune_10,ET,sub-4300
77,2017.0,0.8146570715229843,prune_10,ET,sub-4300
78,2018.0,0.850707572647726,prune_10,ET,sub-4300
79,2019.0,0.8003560528992879,prune_10,ET,sub-4300
80,2020.0,0.8050023707918444,prune_10,ET,sub-4300
81,2021.0,0.7584325396825397,prune_10,ET,sub-4300
