,label,dice,prunning,cohort,subject_id
0,0.0,0.9977605850522476,prune_50,NC,sub-0128
1,1025.0,0.8740580673758865,prune_50,NC,sub-0128
2,1026.0,0.8833497861138533,prune_50,NC,sub-0128
3,2.0,0.9642105930725406,prune_50,NC,sub-0128
4,1028.0,0.8754878842088144,prune_50,NC,sub-0128
5,4.0,0.9445010615711252,prune_50,NC,sub-0128
6,1029.0,0.8681986855635534,prune_50,NC,sub-0128
7,7.0,0.8921260134009551,prune_50,NC,sub-0128
8,8.0,0.930003959611958,prune_50,NC,sub-0128
9,1024.0,0.8925763224925246,prune_50,NC,sub-0128
10,10.0,0.9430712690062694,prune_50,NC,sub-0128
11,11.0,0.9300088783663806,prune_50,NC,sub-0128
12,12.0,0.9314262932323333,prune_50,NC,sub-0128
13,13.0,0.8937347797210538,prune_50,NC,sub-0128
14,14.0,0.9470811580446132,prune_50,NC,sub-0128
15,15.0,0.8956665096561469,prune_50,NC,sub-0128
16,16.0,0.9350625497438828,prune_50,NC,sub-0128
17,17.0,0.9276283009466866,prune_50,NC,sub-0128
18,18.0,0.8739635157545605,prune_50,NC,sub-0128
19,1035.0,0.9095588817613052,prune_50,NC,sub-0128
20,1018.0,0.8601573676680973,prune_50,NC,sub-0128
21,24.0,0.8204601479046837,prune_50,NC,sub-0128
22,26.0,0.8283963227783453,prune_50,NC,sub-0128
23,5.0,0.9016568679850347,prune_50,NC,sub-0128
24,28.0,0.894815606627472,prune_50,NC,sub-0128
25,30.0,0.023255813953488372,prune_50,NC,sub-0128
26,31.0,0.6400765794511806,prune_50,NC,sub-0128
27,41.0,0.9679152913329319,prune_50,NC,sub-0128
28,42.0,0.3333333333333333,prune_50,NC,sub-0128
29,43.0,0.9501420736139563,prune_50,NC,sub-0128
30,44.0,0.8780828292228944,prune_50,NC,sub-0128
31,46.0,0.9031983805668016,prune_50,NC,sub-0128
32,47.0,0.9357847393633109,prune_50,NC,sub-0128
33,1027.0,0.8393549012010848,prune_50,NC,sub-0128
34,49.0,0.9440945983767143,prune_50,NC,sub-0128
35,50.0,0.9332872928176795,prune_50,NC,sub-0128
36,51.0,0.9386540207849864,prune_50,NC,sub-0128
37,52.0,0.8655148260565024,prune_50,NC,sub-0128
38,53.0,0.9325396825396826,prune_50,NC,sub-0128
39,54.0,0.8877797943133696,prune_50,NC,sub-0128
40,58.0,0.8385416666666666,prune_50,NC,sub-0128
41,60.0,0.883686987762434,prune_50,NC,sub-0128
42,62.0,0.022727272727272728,prune_50,NC,sub-0128
43,63.0,0.6790123456790124,prune_50,NC,sub-0128
44,1030.0,0.8738270723075424,prune_50,NC,sub-0128
45,1031.0,0.8726514570552147,prune_50,NC,sub-0128
46,72.0,0.25,prune_50,NC,sub-0128
47,77.0,0.6600196142530239,prune_50,NC,sub-0128
48,1034.0,0.8520912547528517,prune_50,NC,sub-0128
49,85.0,0.006993006993006993,prune_50,NC,sub-0128
50,251.0,0.0008960573476702509,prune_50,NC,sub-0128
51,252.0,0.0017889087656529517,prune_50,NC,sub-0128
52,253.0,0.002044989775051125,prune_50,NC,sub-0128
53,254.0,0.0018587360594795538,prune_50,NC,sub-0128
54,255.0,0.0008665511265164644,prune_50,NC,sub-0128
55,1016.0,0.8338690237042989,prune_50,NC,sub-0128
56,1000.0,0.0028735632183908046,prune_50,NC,sub-0128
57,1003.0,0.8757570927637871,prune_50,NC,sub-0128
58,1015.0,0.8314855121752143,prune_50,NC,sub-0128
59,1006.0,0.7692825112107623,prune_50,NC,sub-0128
60,1007.0,0.7672574346650646,prune_50,NC,sub-0128
61,2000.0,0.002004008016032064,prune_50,NC,sub-0128
62,1008.0,0.8175030665031199,prune_50,NC,sub-0128
63,2002.0,0.8451297980918571,prune_50,NC,sub-0128
64,2003.0,0.7146558424734433,prune_50,NC,sub-0128
65,2005.0,0.7596153846153846,prune_50,NC,sub-0128
66,2006.0,0.7533103051237766,prune_50,NC,sub-0128
67,2007.0,0.8498416179337231,prune_50,NC,sub-0128
68,2008.0,0.8521216859762598,prune_50,NC,sub-0128
69,2009.0,0.8333747103608077,prune_50,NC,sub-0128
70,2010.0,0.8182464454976304,prune_50,NC,sub-0128
71,2011.0,0.7955200884920791,prune_50,NC,sub-0128
72,2012.0,0.8404758774812673,prune_50,NC,sub-0128
73,2013.0,0.8438568985176739,prune_50,NC,sub-0128
74,2014.0,0.8263595803689859,prune_50,NC,sub-0128
75,2015.0,0.8542635658914729,prune_50,NC,sub-0128
76,2016.0,0.8105423987776929,prune_50,NC,sub-0128
77,2017.0,0.8508347447374788,prune_50,NC,sub-0128
78,2018.0,0.8427803567065721,prune_50,NC,sub-0128
79,2019.0,0.8267577694511792,prune_50,NC,sub-0128
80,2020.0,0.8094772155437517,prune_50,NC,sub-0128
81,2021.0,0.8044684787249182,prune_50,NC,sub-0128
82,2022.0,0.8704122372408485,prune_50,NC,sub-0128
83,2023.0,0.8609952324195471,prune_50,NC,sub-0128
84,2024.0,0.8788397730921546,prune_50,NC,sub-0128
85,2025.0,0.8777751023356609,prune_50,NC,sub-0128
86,2026.0,0.8527563296821692,prune_50,NC,sub-0128
87,2027.0,0.8261364175001185,prune_50,NC,sub-0128
88,2028.0,0.8508522980812138,prune_50,NC,sub-0128
89,2029.0,0.8576779026217228,prune_50,NC,sub-0128
90,2030.0,0.8633110525960435,prune_50,NC,sub-0128
91,2031.0,0.8590985915492958,prune_50,NC,sub-0128
92,1005.0,0.8390611902766136,prune_50,NC,sub-0128
93,1002.0,0.8464680851063829,prune_50,NC,sub-0128
94,2034.0,0.7980622131565528,prune_50,NC,sub-0128
95,2035.0,0.9074129427589299,prune_50,NC,sub-0128
96,1010.0,0.8624953857511997,prune_50,NC,sub-0128
97,1013.0,0.8357648099027409,prune_50,NC,sub-0128
98,1014.0,0.8563327032136105,prune_50,NC,sub-0128
99,1012.0,0.8450647249190939,prune_50,NC,sub-0128
100,1011.0,0.7708225798883206,prune_50,NC,sub-0128
101,1017.0,0.8450050910736508,prune_50,NC,sub-0128
102,1009.0,0.7578529017429612,prune_50,NC,sub-0128
103,1019.0,0.7239829175095527,prune_50,NC,sub-0128
104,1020.0,0.8323082716204343,prune_50,NC,sub-0128
105,1021.0,0.8102789453572793,prune_50,NC,sub-0128
106,1022.0,0.8727781727692855,prune_50,NC,sub-0128
107,1023.0,0.8746299585553582,prune_50,NC,sub-0128
0,0.0,0.9989542046536589,prune_50,NC,sub-0082
1,1025.0,0.8973218380262313,prune_50,NC,sub-0082
2,1026.0,0.8953411764705882,prune_50,NC,sub-0082
3,2.0,0.9709323100017971,prune_50,NC,sub-0082
4,1028.0,0.9246762549245066,prune_50,NC,sub-0082
5,4.0,0.962225460039933,prune_50,NC,sub-0082
6,1029.0,0.8825594825594826,prune_50,NC,sub-0082
7,7.0,0.909524260504467,prune_50,NC,sub-0082
8,8.0,0.9436425689247561,prune_50,NC,sub-0082
9,1024.0,0.9248582684731431,prune_50,NC,sub-0082
10,10.0,0.952972934574128,prune_50,NC,sub-0082
11,11.0,0.9286236653502998,prune_50,NC,sub-0082
12,12.0,0.9366722217349356,prune_50,NC,sub-0082
13,13.0,0.9023703356019713,prune_50,NC,sub-0082
14,14.0,0.9551649928263989,prune_50,NC,sub-0082
15,15.0,0.8935912938331319,prune_50,NC,sub-0082
16,16.0,0.952154770425315,prune_50,NC,sub-0082
17,17.0,0.9281599457810912,prune_50,NC,sub-0082
18,18.0,0.8655611489487711,prune_50,NC,sub-0082
19,1035.0,0.9447356924421144,prune_50,NC,sub-0082
20,1018.0,0.8913611198161496,prune_50,NC,sub-0082
21,24.0,0.8804292284108329,prune_50,NC,sub-0082
22,26.0,0.7623188405797101,prune_50,NC,sub-0082
23,5.0,0.8851626016260162,prune_50,NC,sub-0082
24,28.0,0.9072634384717904,prune_50,NC,sub-0082
25,30.0,0.022727272727272728,prune_50,NC,sub-0082
26,31.0,0.7554725040042712,prune_50,NC,sub-0082
27,41.0,0.9705427312101261,prune_50,NC,sub-0082
28,42.0,0.3333333333333333,prune_50,NC,sub-0082
29,43.0,0.9608163646553335,prune_50,NC,sub-0082
30,44.0,0.888481291269259,prune_50,NC,sub-0082
31,46.0,0.9078729685016381,prune_50,NC,sub-0082
32,47.0,0.943318651653465,prune_50,NC,sub-0082
33,1027.0,0.9047103829359713,prune_50,NC,sub-0082
34,49.0,0.9501756851721714,prune_50,NC,sub-0082
35,50.0,0.9302421574023115,prune_50,NC,sub-0082
36,51.0,0.9423336028024791,prune_50,NC,sub-0082
37,52.0,0.8658877317754635,prune_50,NC,sub-0082
38,53.0,0.9232081911262798,prune_50,NC,sub-0082
39,54.0,0.8967136150234741,prune_50,NC,sub-0082
40,58.0,0.8179297597042514,prune_50,NC,sub-0082
41,60.0,0.8984590616375345,prune_50,NC,sub-0082
42,62.0,0.0625,prune_50,NC,sub-0082
43,63.0,0.7387935805201993,prune_50,NC,sub-0082
44,1030.0,0.931491261342748,prune_50,NC,sub-0082
45,1031.0,0.8921322590586889,prune_50,NC,sub-0082
46,72.0,1.0,prune_50,NC,sub-0082
47,77.0,0.563270899954317,prune_50,NC,sub-0082
48,1034.0,0.8910093299406276,prune_50,NC,sub-0082
49,85.0,0.009433962264150943,prune_50,NC,sub-0082
50,251.0,0.0009174311926605505,prune_50,NC,sub-0082
51,252.0,0.0019267822736030828,prune_50,NC,sub-0082
52,253.0,0.0024096385542168677,prune_50,NC,sub-0082
53,254.0,0.0016366612111292963,prune_50,NC,sub-0082
54,255.0,0.0013315579227696406,prune_50,NC,sub-0082
55,1016.0,0.8665380906460945,prune_50,NC,sub-0082
56,1000.0,0.002364066193853428,prune_50,NC,sub-0082
57,1003.0,0.9008244274809161,prune_50,NC,sub-0082
58,1015.0,0.9162650602409639,prune_50,NC,sub-0082
59,1006.0,0.821481956011104,prune_50,NC,sub-0082
60,1007.0,0.8938348896434635,prune_50,NC,sub-0082
61,2000.0,0.0023752969121140144,prune_50,NC,sub-0082
62,1008.0,0.9073777980813157,prune_50,NC,sub-0082
63,2002.0,0.7636077372919479,prune_50,NC,sub-0082
64,2003.0,0.8922426988305884,prune_50,NC,sub-0082
65,2005.0,0.8068532131847285,prune_50,NC,sub-0082
66,2006.0,0.764924506387921,prune_50,NC,sub-0082
67,2007.0,0.8623986250604222,prune_50,NC,sub-0082
68,2008.0,0.9143230244927859,prune_50,NC,sub-0082
69,2009.0,0.8485617597292724,prune_50,NC,sub-0082
70,2010.0,0.8390448414145096,prune_50,NC,sub-0082
71,2011.0,0.8916669708362229,prune_50,NC,sub-0082
72,2012.0,0.8914277397758696,prune_50,NC,sub-0082
73,2013.0,0.8887635229309087,prune_50,NC,sub-0082
74,2014.0,0.8322035781753528,prune_50,NC,sub-0082
75,2015.0,0.8908870408870408,prune_50,NC,sub-0082
76,2016.0,0.8764604067503245,prune_50,NC,sub-0082
77,2017.0,0.9188796278348517,prune_50,NC,sub-0082
78,2018.0,0.8521066938498131,prune_50,NC,sub-0082
79,2019.0,0.830278732340588,prune_50,NC,sub-0082
80,2020.0,0.8429319371727748,prune_50,NC,sub-0082
81,2021.0,0.7858961303462322,prune_50,NC,sub-0082
82,2022.0,0.8948928091864611,prune_50,NC,sub-0082
83,2023.0,0.8639866426920113,prune_50,NC,sub-0082
84,2024.0,0.9087219019681414,prune_50,NC,sub-0082
85,2025.0,0.9108269018743109,prune_50,NC,sub-0082
86,2026.0,0.790338860850757,prune_50,NC,sub-0082
87,2027.0,0.8480292914064183,prune_50,NC,sub-0082
88,2028.0,0.8992056639613193,prune_50,NC,sub-0082
89,2029.0,0.8957304549228685,prune_50,NC,sub-0082
90,2030.0,0.9281317640692641,prune_50,NC,sub-0082
91,2031.0,0.8739061905538344,prune_50,NC,sub-0082
92,1005.0,0.8891970417326994,prune_50,NC,sub-0082
93,1002.0,0.8764291488624553,prune_50,NC,sub-0082
94,2034.0,0.8621991505427088,prune_50,NC,sub-0082
95,2035.0,0.9438114228742345,prune_50,NC,sub-0082
96,1010.0,0.9044753086419753,prune_50,NC,sub-0082
97,1013.0,0.8896305597779394,prune_50,NC,sub-0082
98,1014.0,0.8797951176983435,prune_50,NC,sub-0082
99,1012.0,0.9013888221442645,prune_50,NC,sub-0082
100,1011.0,0.9020483408439164,prune_50,NC,sub-0082
101,1017.0,0.9155042649272453,prune_50,NC,sub-0082
102,1009.0,0.8856728810903963,prune_50,NC,sub-0082
103,1019.0,0.8780029245874242,prune_50,NC,sub-0082
104,1020.0,0.8991967084639498,prune_50,NC,sub-0082
105,1021.0,0.8408385093167702,prune_50,NC,sub-0082
106,1022.0,0.9094915716297878,prune_50,NC,sub-0082
107,1023.0,0.9111775091674589,prune_50,NC,sub-0082
0,0.0,0.9978483759339948,prune_50,NC,sub-0100
1,1025.0,0.875298768155911,prune_50,NC,sub-0100
2,1026.0,0.8176764238711142,prune_50,NC,sub-0100
3,2.0,0.9642249487206148,prune_50,NC,sub-0100
4,1028.0,0.905085802288061,prune_50,NC,sub-0100
5,4.0,0.9656259055346277,prune_50,NC,sub-0100
6,1029.0,0.8794560823226755,prune_50,NC,sub-0100
7,7.0,0.8949820440648355,prune_50,NC,sub-0100
8,8.0,0.9388049666054059,prune_50,NC,sub-0100
9,1024.0,0.8911213379728364,prune_50,NC,sub-0100
10,10.0,0.9149584311734468,prune_50,NC,sub-0100
11,11.0,0.9442443644124316,prune_50,NC,sub-0100
12,12.0,0.9339930822444273,prune_50,NC,sub-0100
13,13.0,0.861550427793622,prune_50,NC,sub-0100
14,14.0,0.8722442057659695,prune_50,NC,sub-0100
15,15.0,0.8874915023793338,prune_50,NC,sub-0100
16,16.0,0.9396775871034841,prune_50,NC,sub-0100
17,17.0,0.903620944945484,prune_50,NC,sub-0100
18,18.0,0.8640280021540119,prune_50,NC,sub-0100
19,1035.0,0.915474954062475,prune_50,NC,sub-0100
20,1018.0,0.8505286183011301,prune_50,NC,sub-0100
21,24.0,0.8131826741996233,prune_50,NC,sub-0100
22,26.0,0.8464630225080386,prune_50,NC,sub-0100
23,5.0,0.7549019607843137,prune_50,NC,sub-0100
24,28.0,0.8818675107393172,prune_50,NC,sub-0100
25,30.0,0.023255813953488372,prune_50,NC,sub-0100
26,31.0,0.6765285996055227,prune_50,NC,sub-0100
